epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1026.69,0.69783,0.59746,0.90004,0.84834,0.8107,0.88631,0.75906,0.59242,0.5206,0.85413,0.008581,0.008581,0.008581
45,1048.96,0.69846,0.59051,0.89907,0.87279,0.79451,0.88005,0.75926,0.58478,0.51617,0.85051,0.008548,0.008548,0.008548
46,1071.24,0.68446,0.58503,0.89513,0.89266,0.78364,0.88428,0.76395,0.582,0.51011,0.84942,0.008515,0.008515,0.008515
47,1093.6,0.68547,0.58503,0.8984,0.88118,0.79523,0.89367,0.77741,0.56558,0.49752,0.84744,0.008482,0.008482,0.008482
48,1116.51,0.68178,0.58134,0.89387,0.89448,0.79785,0.89773,0.78302,0.56665,0.50448,0.84476,0.008449,0.008449,0.008449
49,1139.01,0.67926,0.57761,0.89353,0.83128,0.83909,0.89263,0.77228,0.56904,0.50561,0.84329,0.008416,0.008416,0.008416
50,1161.34,0.67238,0.57254,0.8915,0.86611,0.82889,0.90287,0.78108,0.55975,0.50065,0.84331,0.008383,0.008383,0.008383
51,1183.81,0.66937,0.56917,0.8898,0.85735,0.81027,0.89353,0.78095,0.56119,0.49699,0.84324,0.00835,0.00835,0.00835
52,1206.18,0.66919,0.56669,0.88901,0.87376,0.80462,0.88576,0.77527,0.54602,0.48881,0.83699,0.008317,0.008317,0.008317
53,1228.48,0.66337,0.56258,0.88829,0.86227,0.80846,0.89629,0.77724,0.55666,0.496,0.83732,0.008284,0.008284,0.008284
54,1250.71,0.65975,0.55782,0.88795,0.89923,0.80035,0.89319,0.78248,0.55147,0.48468,0.83954,0.008251,0.008251,0.008251
55,1273,0.66004,0.55772,0.88723,0.89037,0.80829,0.89111,0.7779,0.54707,0.48843,0.83786,0.008218,0.008218,0.008218
56,1295.47,0.65652,0.55473,0.886,0.86615,0.83489,0.89948,0.78615,0.55255,0.48341,0.84262,0.008185,0.008185,0.008185
57,1317.93,0.65576,0.55329,0.88359,0.87477,0.83502,0.90192,0.79065,0.54347,0.47977,0.83874,0.008152,0.008152,0.008152
58,1340.44,0.64706,0.54914,0.88598,0.87427,0.82976,0.90049,0.7888,0.53748,0.46999,0.83208,0.008119,0.008119,0.008119
59,1363.05,0.64565,0.54454,0.88223,0.87398,0.83048,0.90191,0.78796,0.54349,0.47379,0.83235,0.008086,0.008086,0.008086
60,1385.74,0.64859,0.5484,0.88217,0.89898,0.78262,0.89201,0.78758,0.5352,0.4835,0.83714,0.008053,0.008053,0.008053
61,1408.24,0.64455,0.54171,0.88235,0.88482,0.79924,0.88942,0.77631,0.54318,0.48523,0.83583,0.00802,0.00802,0.00802
62,1430.81,0.63912,0.54198,0.88015,0.86519,0.8212,0.89908,0.78777,0.54046,0.47546,0.83736,0.007987,0.007987,0.007987
63,1453.66,0.64233,0.5424,0.88298,0.88143,0.83093,0.89826,0.79109,0.53554,0.47556,0.83689,0.007954,0.007954,0.007954
64,1476.53,0.63724,0.538,0.88045,0.8569,0.84318,0.89836,0.79178,0.53088,0.47156,0.83234,0.007921,0.007921,0.007921
65,1499.43,0.63169,0.53235,0.87963,0.86707,0.84803,0.90365,0.79817,0.52292,0.45878,0.83132,0.007888,0.007888,0.007888
66,1522.25,0.63317,0.52985,0.87712,0.88957,0.81615,0.89875,0.78795,0.52744,0.46758,0.83157,0.007855,0.007855,0.007855
67,1544.88,0.63685,0.53502,0.88092,0.87997,0.84383,0.90867,0.79269,0.5336,0.46619,0.83762,0.007822,0.007822,0.007822
68,1567.6,0.62416,0.52352,0.87638,0.88448,0.82541,0.9002,0.79054,0.52137,0.46062,0.83208,0.007789,0.007789,0.007789
69,1590.19,0.62298,0.52536,0.87697,0.87615,0.85309,0.91322,0.8024,0.52804,0.45586,0.8359,0.007756,0.007756,0.007756
70,1613,0.62641,0.52622,0.87624,0.87458,0.84024,0.9111,0.80294,0.52056,0.46094,0.83393,0.007723,0.007723,0.007723
71,1636.18,0.62074,0.51664,0.87353,0.88824,0.82383,0.91173,0.80187,0.51916,0.45525,0.8311,0.00769,0.00769,0.00769
72,1659.2,0.61684,0.51501,0.87376,0.90925,0.85267,0.91815,0.813,0.51186,0.45055,0.82842,0.007657,0.007657,0.007657
73,1682.07,0.61499,0.51633,0.87526,0.89941,0.84266,0.9196,0.81146,0.51196,0.45103,0.82844,0.007624,0.007624,0.007624
74,1704.66,0.62044,0.52025,0.87759,0.88977,0.83537,0.91122,0.80464,0.51908,0.45454,0.8336,0.007591,0.007591,0.007591
75,1727.35,0.61333,0.51457,0.87279,0.89531,0.8281,0.90809,0.80352,0.51051,0.44333,0.8288,0.007558,0.007558,0.007558
76,1750.03,0.61392,0.51207,0.87199,0.89625,0.8414,0.91338,0.80701,0.51209,0.44842,0.8309,0.007525,0.007525,0.007525
77,1772.92,0.61048,0.50978,0.87322,0.88572,0.8492,0.91811,0.81197,0.50843,0.44277,0.82837,0.007492,0.007492,0.007492
78,1795.77,0.60471,0.50761,0.87097,0.87539,0.85506,0.91465,0.80913,0.51701,0.44945,0.83204,0.007459,0.007459,0.007459
79,1818.49,0.60045,0.50222,0.86914,0.88867,0.8469,0.91007,0.80688,0.50682,0.44952,0.82826,0.007426,0.007426,0.007426
80,1841.26,0.60497,0.50359,0.87185,0.87395,0.85036,0.91028,0.80409,0.51032,0.44488,0.82635,0.007393,0.007393,0.007393
81,1863.74,0.60174,0.49859,0.87025,0.89039,0.84964,0.91194,0.80595,0.51236,0.44228,0.82838,0.00736,0.00736,0.00736
82,1886.2,0.60667,0.50249,0.87066,0.91508,0.84283,0.9146,0.81115,0.5124,0.43727,0.82879,0.007327,0.007327,0.007327
83,1908.74,0.60296,0.49951,0.87026,0.90279,0.84708,0.91527,0.81422,0.50331,0.43699,0.82543,0.007294,0.007294,0.007294
84,1931.51,0.60223,0.50242,0.86739,0.89854,0.83735,0.91054,0.81022,0.50175,0.43741,0.826,0.007261,0.007261,0.007261
85,1954.34,0.5975,0.49562,0.86838,0.91512,0.84387,0.9215,0.81803,0.50309,0.43128,0.82695,0.007228,0.007228,0.007228
86,1977.3,0.59797,0.49987,0.86772,0.88099,0.8523,0.91566,0.81297,0.50186,0.42959,0.82655,0.007195,0.007195,0.007195
87,1999.82,0.59217,0.48872,0.86582,0.89533,0.84512,0.91598,0.81262,0.50233,0.42933,0.827,0.007162,0.007162,0.007162
88,2022.63,0.59238,0.49271,0.86756,0.90319,0.84636,0.91794,0.81694,0.50186,0.43015,0.83009,0.007129,0.007129,0.007129
89,2045.31,0.58964,0.48452,0.86623,0.90441,0.84823,0.92231,0.81733,0.50115,0.42956,0.82973,0.007096,0.007096,0.007096
90,2068,0.59092,0.48735,0.86687,0.89632,0.84614,0.91706,0.81746,0.49853,0.42389,0.82363,0.007063,0.007063,0.007063
91,2090.76,0.59028,0.48761,0.86673,0.88276,0.86225,0.92011,0.81995,0.4997,0.43047,0.8253,0.00703,0.00703,0.00703
92,2113.61,0.58566,0.48069,0.86288,0.91458,0.83957,0.91482,0.81639,0.49301,0.42943,0.8246,0.006997,0.006997,0.006997
93,2136.47,0.58686,0.48377,0.86486,0.88454,0.86354,0.91818,0.81581,0.49853,0.42868,0.82629,0.006964,0.006964,0.006964
94,2159.37,0.58236,0.48009,0.86279,0.90763,0.85116,0.92181,0.82017,0.48962,0.42306,0.81963,0.006931,0.006931,0.006931
95,2182.21,0.58429,0.4851,0.86278,0.92317,0.8401,0.92189,0.82044,0.49598,0.42101,0.82597,0.006898,0.006898,0.006898
96,2204.99,0.5818,0.47929,0.86339,0.87907,0.8641,0.91774,0.81523,0.49415,0.42394,0.82555,0.006865,0.006865,0.006865
97,2227.83,0.57917,0.48151,0.86507,0.9041,0.85161,0.91842,0.81894,0.49368,0.42249,0.82235,0.006832,0.006832,0.006832
98,2250.7,0.57948,0.47784,0.86239,0.89215,0.85219,0.91904,0.81775,0.4873,0.41995,0.8239,0.006799,0.006799,0.006799
99,2273.52,0.5764,0.4732,0.86128,0.90024,0.86417,0.92257,0.82161,0.48997,0.41266,0.82435,0.006766,0.006766,0.006766
100,2296.28,0.57531,0.47441,0.86252,0.90793,0.84673,0.91913,0.81847,0.48699,0.41655,0.82223,0.006733,0.006733,0.006733
101,2318.83,0.56903,0.46899,0.85983,0.89286,0.85346,0.92238,0.82359,0.48615,0.41308,0.82206,0.0067,0.0067,0.0067
102,2340.93,0.57908,0.47042,0.86109,0.89841,0.86649,0.92379,0.82264,0.48708,0.4185,0.82311,0.006667,0.006667,0.006667
103,2363.12,0.57564,0.47212,0.86085,0.90774,0.86195,0.92043,0.82038,0.49013,0.41344,0.82213,0.006634,0.006634,0.006634
104,2385.26,0.56812,0.46972,0.85856,0.9211,0.85397,0.92016,0.82112,0.48666,0.41162,0.81978,0.006601,0.006601,0.006601
105,2407.62,0.56629,0.4658,0.86024,0.9041,0.86953,0.92375,0.82367,0.47975,0.41145,0.81915,0.006568,0.006568,0.006568
106,2430.01,0.56839,0.46721,0.8595,0.91649,0.84971,0.92358,0.82382,0.4841,0.41308,0.82194,0.006535,0.006535,0.006535
107,2452.41,0.56702,0.46495,0.8591,0.91478,0.84243,0.91966,0.82281,0.47934,0.4122,0.821,0.006502,0.006502,0.006502
108,2474.73,0.56806,0.465,0.85924,0.91686,0.83376,0.92129,0.82434,0.48185,0.41354,0.8198,0.006469,0.006469,0.006469
109,2496.96,0.56458,0.46323,0.85622,0.90465,0.848,0.92099,0.82265,0.48041,0.41008,0.82195,0.006436,0.006436,0.006436
110,2519.11,0.56364,0.45954,0.85847,0.88867,0.85878,0.92194,0.82481,0.47745,0.40965,0.81923,0.006403,0.006403,0.006403
111,2541.33,0.56107,0.45488,0.85612,0.91497,0.84434,0.92099,0.82527,0.47916,0.40996,0.81992,0.00637,0.00637,0.00637
112,2563.67,0.55747,0.4567,0.8557,0.92363,0.85266,0.92082,0.8205,0.48142,0.40668,0.82316,0.006337,0.006337,0.006337
113,2586.05,0.5629,0.45611,0.8565,0.929,0.84056,0.92096,0.82466,0.47718,0.4062,0.82036,0.006304,0.006304,0.006304
114,2608.38,0.56204,0.46104,0.85765,0.93054,0.84783,0.92222,0.82444,0.47855,0.40554,0.82096,0.006271,0.006271,0.006271
115,2630.71,0.55962,0.45857,0.85578,0.92602,0.83741,0.92163,0.82231,0.47937,0.40364,0.82233,0.006238,0.006238,0.006238
116,2653.04,0.55699,0.45465,0.85592,0.92335,0.84598,0.9202,0.82262,0.47611,0.40894,0.82031,0.006205,0.006205,0.006205
