               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10503,            0.086409,            0.059313,             0.19585,             0.10813,            0.023165,           0.0062554,            0.089604,             0.14447,            0.044884,              0.0748,              0.0028,              0.0028
                   1,            0.075932,            0.086105,            0.038746,             0.59241,             0.22908,            0.093987,            0.028372,            0.082473,            0.093082,            0.031602,            0.048689,           0.0056887,           0.0056887
                   2,             0.07065,            0.079146,            0.032023,             0.51219,              0.3173,             0.22871,             0.11516,            0.074453,            0.082314,            0.023975,            0.022566,           0.0085659,           0.0085659
                   3,            0.062289,            0.078297,            0.025343,             0.60042,             0.50809,             0.41091,             0.22565,            0.048812,            0.076527,            0.018539,           0.0099406,           0.0099406,           0.0099406
                   4,            0.053737,            0.071799,            0.021022,             0.72532,              0.4222,             0.48603,             0.24871,            0.047462,            0.065407,            0.017024,           0.0099406,           0.0099406,           0.0099406
                   5,            0.048204,            0.068621,            0.017939,             0.63601,             0.49595,             0.51541,              0.2578,            0.047195,            0.074623,            0.014445,           0.0099208,           0.0099208,           0.0099208
                   6,            0.044292,            0.067186,            0.016207,             0.69926,             0.67668,             0.66921,             0.41169,            0.037764,            0.060318,            0.012886,            0.009901,            0.009901,            0.009901
                   7,            0.041414,            0.064853,            0.014757,             0.75778,             0.66082,             0.68541,             0.43274,            0.033921,             0.05682,            0.011977,           0.0098812,           0.0098812,           0.0098812
                   8,            0.039702,            0.064876,            0.013799,             0.80899,             0.66569,              0.7087,              0.4499,            0.034125,            0.055687,            0.011141,           0.0098614,           0.0098614,           0.0098614
                   9,            0.037874,            0.062762,            0.012977,             0.82914,             0.67111,             0.73313,             0.49809,            0.032708,            0.054043,            0.010984,           0.0098416,           0.0098416,           0.0098416
                  10,             0.03721,            0.061366,            0.012044,             0.84684,             0.71082,             0.76951,             0.49558,            0.028246,            0.054424,            0.010405,           0.0098218,           0.0098218,           0.0098218
                  11,            0.036154,            0.060619,            0.011204,             0.83462,             0.74596,             0.79062,             0.55193,            0.028229,            0.050705,           0.0094906,            0.009802,            0.009802,            0.009802
